3	18	spotdodgeActive
28	spotdodgeFAF
4	18	frollActive
33	frollFAF
4	18	brollActive
33	brollFAF
3	28	airdodgeActive
34	airdodgeFAF
1	12	ledgejumpActive
13	ledgejumpFAF
1	25	ledgerollActive
50	ledgerollFAF
1	33	ledgegetupActive
35	ledgegetupFAF
1	21	ledgeattackActive
56	ledgeattackFAF
7	jumpsquat
2	lightLanding
5	hardLanding
20	landingAirN
22	landingAirF
24	landingAirB
20	landingAirHi
33	landingAirLw
0	landingAirZ
1	22	getupFActive
30	getupFFAF
1	22	getupBActive
30	getupBFAF
1	22	getupfrollFActive
36	getupfrollFFAF
1	22	getupfrollBActive
36	getupfrollBFAF
1	22	getupbrollFActive
36	getupbrollFFAF
1	22	getupbrollBActive
36	getupbrollBFAF
1	20	passiveActive
27	passiveFAF
1	20	getupBActive
41	passiveFFAF
1	20	passiveBActive
41	passiveBFAF
