2	15	spotdodgeActive
25	spotdodgeFAF
4	14	frollActive
27	frollFAF
4	14	brollActive
27	brollFAF
2	25	airdodgeActive
31	airdodgeFAF
1	12	ledgejumpActive
13	ledgejumpFAF
1	28	ledgerollActive
50	ledgerollFAF
1	33	ledgegetupActive
35	ledgegetupFAF
1	16	ledgeattackActive
55	ledgeattackFAF
4	jumpsquat
2	lightLanding
4	hardLanding
11	landingAirN
27	landingAirF
15	landingAirB
22	landingAirHi
25	landingAirLw
0	landingAirZ
1	22	getupFActive
30	getupFFAF
1	22	getupBActive
30	getupBFAF
1	19	getupfrollFActive
36	getupfrollFFAF
1	19	getupfrollBActive
36	getupfrollBFAF
1	24	getupbrollFActive
36	getupbrollFFAF
1	20	getupbrollBActive
36	getupbrollBFAF
