3	18	spotdodgeActive
28	spotdodgeFAF
4	21	frollActive
36	frollFAF
4	21	brollActive
36	brollFAF
3	28	airdodgeActive
34	airdodgeFAF
1	12	ledgejumpActive
13	ledgejumpFAF
1	21	ledgerollActive
50	ledgerollFAF
1	32	ledgegetupActive
34	ledgegetupFAF
1	17	ledgeattackActive
56	ledgeattackFAF
6	jumpsquat
2	lightLanding
4	hardLanding
11	landingAirN
17	landingAirF
19	landingAirB
14	landingAirHi
24	landingAirLw
0	landingAirZ
1	22	getupFActive
30	getupFFAF
1	22	getupBActive
30	getupBFAF
1	14	getupfrollFActive
36	getupfrollFFAF
1	19	getupfrollBActive
36	getupfrollBFAF
1	29	getupbrollFActive
36	getupbrollFFAF
1	24	getupbrollBActive
36	getupbrollBFAF
