2	16	spotdodgeActive
26	spotdodgeFAF
4	14	frollActive
30	frollFAF
4	14	brollActive
33	brollFAF
2	26	airdodgeActive
32	airdodgeFAF
1	12	ledgejumpActive
13	ledgejumpFAF
1	29	ledgerollActive
50	ledgerollFAF
1	31	ledgegetupActive
33	ledgegetupFAF
1	19	ledgeattackActive
56	ledgeattackFAF
4	jumpsquat
2	lightLanding
4	hardLanding
12	landingAirN
15	landingAirF
13	landingAirB
16	landingAirHi
33	landingAirLw
0	landingAirZ
1	22	getupFActive
30	getupFFAF
1	22	getupBActive
30	getupBFAF
1	19	getupfrollFActive
36	getupfrollFFAF
1	19	getupfrollBActive
36	getupfrollBFAF
1	19	getupbrollFActive
36	getupbrollFFAF
1	19	getupbrollBActive
36	getupbrollBFAF
