4	19	spotdodgeActive
29	spotdodgeFAF
4	19	frollActive
34	frollFAF
4	19	brollActive
34	brollFAF
4	29	airdodgeActive
35	airdodgeFAF
1	12	ledgejumpActive
13	ledgejumpFAF
1	26	ledgerollActive
50	ledgerollFAF
1	34	ledgegetupActive
36	ledgegetupFAF
1	19	ledgeattackActive
56	ledgeattackFAF
8	jumpsquat
2	lightLanding
6	hardLanding
20	landingAirN
24	landingAirF
40	landingAirB
28	landingAirHi
40	landingAirLw
0	landingAirZ
1	22	getupFActive
30	getupFFAF
1	22	getupBActive
30	getupBFAF
1	27	getupfrollFActive
36	getupfrollFFAF
1	19	getupfrollBActive
36	getupfrollBFAF
1	19	getupbrollFActive
36	getupbrollFFAF
1	27	getupbrollBActive
36	getupbrollBFAF
